x,y,z,tiji,biaomianji
2.103,2.378,2.302,1.555101963,21.08564369
1.773,2.055,2.157,1.079286107,19.44508244
1.566,1.748,1.782,0.622774778,11.55020721
1.758,1.556,1.947,0.573379775,12.10262208
1.85,2.184,2.214,1.349311834,17.95992375
1.521,2.204,1.634,0.542466393,10.58078455
1.872,1.921,1.907,1.057121828,15.30369803
1.817,2.213,1.826,1.407015551,18.98411372
2.054,2.105,1.687,1.157309346,15.87059398
2.052,1.799,2.1,1.346197367,21.45961222
1.174,0.678,0.984,0.093289925,2.373836555
1.96,1.748,1.934,0.876919886,12.2916949
1.843,2.205,1.998,1.141669295,16.10204038
1.553,1.119,1.591,0.476730544,7.376302847
2.311,2.262,1.972,1.559518974,21.76177864
1.156,1.139,1.388,0.175227819,4.288471643
2.54,2.381,2.386,1.761319188,23.59605652
1.666,1.843,1.449,0.576819197,10.28130306
1.748,1.756,2.089,0.880617961,15.41673168
1.684,2.007,1.876,0.78718399,15.24415372
1.817,1.811,1.954,0.860386627,15.01386242
1.872,1.688,1.882,1.036239147,15.03625423
1.455,1.361,1.511,0.451194689,7.162326146
1.716,1.834,2.098,0.89900121,15.16146157
2.278,2.257,2.671,2.016391414,24.37209026
1.794,1.773,1.944,0.74518898,11.20305362
2.054,2.269,2.298,2.089312399,26.33142986
2.168,2.141,2.085,1.559318442,18.33478699
2.443,1.811,1.981,1.05149833,13.95386812
1.818,1.632,1.833,0.693614446,11.13414359
2.141,1.949,2.327,1.389621945,19.67588011
2.31,2.026,2.268,1.186159037,19.72578807
2.258,1.807,2.327,1.266779716,18.7281532
1.547,1.406,1.447,0.387257717,7.264235951
1.461,1.046,1.895,0.231039869,5.209363927
2.081,2.209,1.871,0.901981467,14.03765909
1.296,1.679,1.42,0.31111774,6.323999976
1.607,1.51,1.588,0.470226343,9.233983032
1.612,1.636,1.746,0.434288317,7.921273943
1.865,2.168,1.744,1.101188475,17.2818141
1.819,1.969,2.463,1.375865229,20.79431303
1.08,1.566,1.495,0.347506832,7.140728375
1.642,1.4,1.887,0.593938492,10.00249704
1.815,1.588,1.687,0.714395677,11.45845353
1.124,1.789,1.719,0.532166453,7.98966501
1.135,1.209,1.211,0.219357115,4.028757942
1.57,1.294,1.438,0.402483626,7.028379427
1.617,1.472,1.44,0.487337028,7.455620644
1.513,1.634,1.701,0.672733271,8.749492819
1.172,1.33,1.262,0.210503105,4.497070795
1.874,1.979,1.816,0.935655467,14.50928056
2.244,2.139,1.984,1.414379472,20.37541543
1.71,1.49,1.599,0.560970574,8.868500566
1.791,1.692,1.702,0.698424183,10.5269963
1.884,1.964,2.129,1.04722179,16.83105867
2.409,2.146,1.974,1.785524016,21.63934599
